Bank/Platform,Fraud Helpline,Chargeback Window (Hours),Complaint URL,Escalation Email
State Bank of India,1800-111-109,72,https://crcf.sbi.co.in/ccf/,customercare@sbi.co.in
HDFC Bank,1800-266-3310,72,https://www.hdfcbank.com/personal/useful-links/phishing,support@hdfcbank.com
ICICI Bank,1800-200-3344,72,https://www.icicibank.com/online-safe-banking,headofservice.quality@icicibank.com
Axis Bank,1800-419-5555,72,https://www.axisbank.com/report-a-fraud,customerservice@axisbank.com
Kotak Mahindra Bank,1800-209-0000,72,https://www.kotak.com/en/stories-in-focus/fraud-awareness.html,service.bank@kotak.com
Punjab National Bank,1800-180-2222,72,https://www.pnbindia.in/cyber-security.html,ho.customercare@pnb.co.in
Bank of Baroda,1800-5700,72,https://www.bankofbaroda.in/customer-support/grievance-redressal,customercare@bankofbaroda.com
Union Bank of India,1800-222-244,72,https://www.unionbankofindia.co.in,customercare@unionbankofindia.bank
Google Pay,1800-419-0157,72,https://support.google.com/googlepay/contact/phone_support,N/A
PhonePe,080-68727374,48,https://support.phonepe.com,N/A
Paytm,0120-4456-456,48,https://paytm.com/care,care@paytm.com
Amazon Pay,1800-300-9009,72,https://www.amazon.in/gp/help/customer/contact-us,N/A
BHIM App,1800-120-1740,72,https://www.npci.org.in/what-we-do/bhim/grievance-redressal,npci@npci.org.in
RBI (Banking Ombudsman),14448,N/A,https://cms.rbi.org.in,crpc@rbi.org.in
National Cybercrime,1930,N/A,https://cybercrime.gov.in,N/A
Police Emergency,100,N/A,N/A,N/A
Women Helpline,181,N/A,N/A,N/A
